iter	Passed	Remaining
845	3265	594
846	3270	590
847	3275	587
848	3280	583
849	3285	579
850	3290	576
851	3295	572
852	3299	568
853	3305	565
854	3310	561
855	3315	557
856	3320	554
857	3325	550
858	3330	546
859	3335	542
860	3340	539
861	3345	535
862	3350	531
863	3355	528
864	3360	524
865	3365	520
866	3370	517
867	3375	513
868	3380	509
869	3385	505
870	3390	502
871	3395	498
872	3400	494
873	3405	491
874	3410	487
875	3415	483
876	3420	479
877	3425	476
878	3430	472
879	3435	468
880	3440	464
881	3445	461
882	3450	457
883	3455	453
884	3460	449
885	3465	445
886	3470	442
887	3476	438
888	3481	434
889	3486	430
890	3491	427
891	3496	423
892	3501	419
893	3506	415
894	3511	411
895	3516	408
896	3521	404
897	3526	400
898	3532	396
899	3537	393
900	3542	389
901	3547	385
902	3552	381
903	3557	377
904	3562	373
905	3567	370
906	3571	366
907	3576	362
908	3582	358
909	3587	354
910	3592	350
911	3597	347
912	3602	343
913	3607	339
914	3612	335
915	3617	331
916	3622	327
917	3627	323
918	3632	320
919	3637	316
920	3642	312
921	3647	308
922	3652	304
923	3657	300
924	3663	297
925	3668	293
926	3673	289
927	3678	285
928	3683	281
929	3688	277
930	3694	273
931	3699	269
932	3704	265
933	3709	262
934	3714	258
935	3719	254
936	3724	250
937	3729	246
938	3734	242
939	3739	238
940	3744	234
941	3749	230
942	3754	226
943	3760	223
944	3764	219
945	3770	215
946	3775	211
947	3780	207
948	3785	203
949	3790	199
950	3795	195
951	3799	191
952	3804	187
953	3810	183
954	3815	179
955	3819	175
956	3825	171
957	3830	167
958	3835	163
959	3840	160
960	3845	156
961	3850	152
962	3855	148
963	3860	144
964	3865	140
965	3870	136
966	3875	132
967	3880	128
968	3885	124
969	3890	120
970	3894	116
971	3900	112
972	3905	108
973	3910	104
974	3915	100
975	3920	96
976	3925	92
977	3930	88
978	3935	84
979	3940	80
980	3945	76
981	3950	72
982	3955	68
983	3961	64
984	3966	60
985	3971	56
986	3976	52
987	3981	48
988	3986	44
989	3991	40
990	3996	36
991	4001	32
992	4006	28
993	4011	24
994	4018	20
995	4026	16
996	4032	12
997	4038	8
998	4044	4
999	4049	0
